value,label,color
1,Water in 1 year,#e5e5ff
2,Water in 2 years,#e5e5ff
3,Water in 3 years,#ccccff
4,Water in 4 years,#ccccff
5,Water in 5 years,#ccccff
6,Water in 6 years,#ccccff
7,Water in 7 years,#b2b2ff
8,Water in 8 years,#b2b2ff
9,Water in 9 years,#b2b2ff
10,Water in 10 years,#b2b2ff
11,Water in 11 years,#9999ff
12,Water in 12 years,#9999ff
13,Water in 13 years,#9999ff
14,Water in 14 years,#9999ff
15,Water in 15 years,#7f7fff
16,Water in 16 years,#7f7fff
17,Water in 17 years,#7f7fff
18,Water in 18 years,#7f7fff
19,Water in 19 years,#6666ff
20,Water in 20 years,#6666ff
21,Water in 21 years,#6666ff
22,Water in 22 years,#6666ff
23,Water in 23 years,#4c4cff
